Dia,Ganancias
06-04-2022,5000
07-04-2022,7000
08-04-2022,33500
09-04-2022,11500
10-04-2022,54500
11-04-2022,3000
12-04-2022,18000
13-04-2022,7000
14-04-2022,7000
15-04-2022,62000
16-04-2022,26500
17-04-2022,33500
18-04-2022,10000
19-04-2022,16500
20-04-2022,50000
21-04-2022,4500
22-04-2022,4500
23-04-2022,50000
24-04-2022,7000
25-04-2022,19000
26-04-2022,13000
27-04-2022,22000
28-04-2022,16000
29-04-2022,22500
30-04-2022,59500
01-05-2022,47000
02-05-2022,6000
03-05-2022,18000
04-05-2022,84500
05-05-2022,46500
06-05-2022,209500
07-05-2022,148000
08-05-2022,158000
09-05-2022,3000
10-05-2022,88000
11-05-2022,23000
12-05-2022,15000
13-05-2022,5000
14-05-2022,17000
15-05-2022,9000
16-05-2022,21000
17-05-2022,45000
18-05-2022,33500
19-05-2022,2000
20-05-2022,5000
21-05-2022,3000
22-05-2022,19500
23-05-2022,9000
24-05-2022,11500
25-05-2022,35000
26-05-2022,36000
27-05-2022,33600
28-05-2022,33900
29-05-2022,60000
30-05-2022,2500
31-05-2022,13500
01-06-2022,34000
02-06-2022,29500
03-06-2022,13000
04-06-2022,55800
05-06-2022,34000
06-06-2022,14000
07-06-2022,31500
08-06-2022,13000
09-06-2022,15000
10-06-2022,54000
11-06-2022,66000
12-06-2022,23000
13-06-2022,8000
14-06-2022,16000
15-06-2022,63000
16-06-2022,30000
17-06-2022,19000
18-06-2022,48000
19-06-2022,162500
20-06-2022,104000
21-06-2022,136500
22-06-2022,26000
23-06-2022,15000
24-06-2022,18500
25-06-2022,109000
26-06-2022,42500
27-06-2022,21500
28-06-2022,9000
29-06-2022,17500
30-06-2022,2500
01-07-2022,43000
02-07-2022,9000
03-07-2022,20000
04-07-2022,7500
05-07-2022,39000
06-07-2022,51000
07-07-2022,18000
08-07-2022,22500
09-07-2022,24000
10-07-2022,54000
11-07-2022,12000
12-07-2022,16000
13-07-2022,20000
14-07-2022,90500
15-07-2022,48500
16-07-2022,7000
17-07-2022,24000
18-07-2022,20000
19-07-2022,23000
20-07-2022,2000
21-07-2022,12500
22-07-2022,24000
23-07-2022,63500
24-07-2022,28500
25-07-2022,15000
26-07-2022,29000
27-07-2022,3000
28-07-2022,26500
29-07-2022,10500
30-07-2022,58000
31-07-2022,30000
01-08-2022,9000
02-08-2022,10000
03-08-2022,9000
04-08-2022,13500
05-08-2022,71500
06-08-2022,114000
07-08-2022,5000
08-08-2022,18000
09-08-2022,13000
10-08-2022,19000
11-08-2022,13000
12-08-2022,12500
13-08-2022,16000
14-08-2022,15000
15-08-2022,9000
16-08-2022,15000
17-08-2022,12000
18-08-2022,8500
19-08-2022,22000
20-08-2022,119500
21-08-2022,30000
22-08-2022,3000
23-08-2022,33000
24-08-2022,47000
25-08-2022,5000
26-08-2022,25000
27-08-2022,83500
28-08-2022,46500
29-08-2022,8500
30-08-2022,56000
31-08-2022,15000
01-09-2022,42500
02-09-2022,12000
03-09-2022,210500
04-09-2022,43500
05-09-2022,15000
06-09-2022,11000
07-09-2022,7500
08-09-2022,36000
09-09-2022,54000
10-09-2022,211500
11-09-2022,83500
12-09-2022,34000
13-09-2022,40500
14-09-2022,5000
15-09-2022,2500
16-09-2022,14000
17-09-2022,160000
18-09-2022,16000
19-09-2022,8000
20-09-2022,23000
21-09-2022,4000
22-09-2022,55000
23-09-2022,46500
24-09-2022,53500
25-09-2022,67000
26-09-2022,9000
27-09-2022,31300
28-09-2022,23000
29-09-2022,39500
30-09-2022,29000
01-10-2022,79500
02-10-2022,85000
03-10-2022,33000
04-10-2022,25000
05-10-2022,20000
06-10-2022,38000
07-10-2022,14000
08-10-2022,63000
09-10-2022,53500
10-10-2022,20500
11-10-2022,13000
12-10-2022,17000
13-10-2022,10000
14-10-2022,11500
15-10-2022,25000
16-10-2022,30000
17-10-2022,14500
18-10-2022,76500
19-10-2022,60500
20-10-2022,32000
21-10-2022,29000
22-10-2022,55000
23-10-2022,14000
24-10-2022,13000
25-10-2022,8000
26-10-2022,21000
27-10-2022,8000
28-10-2022,28000
29-10-2022,12000
30-10-2022,23000
31-10-2022,420000
01-11-2022,327000
02-11-2022,61000
03-11-2022,16500
04-11-2022,24000
05-11-2022,22000
06-11-2022,8000
07-11-2022,12000
08-11-2022,9000
09-11-2022,39000
10-11-2022,5000
11-11-2022,11000
12-11-2022,6000
13-11-2022,9000
14-11-2022,14000
15-11-2022,15000
16-11-2022,49000
17-11-2022,9000
18-11-2022,24000
19-11-2022,3500
20-11-2022,8000
21-11-2022,13500
22-11-2022,24000
23-11-2022,60000
24-11-2022,3000
25-11-2022,7000
26-11-2022,8000
27-11-2022,12000
28-11-2022,22000
29-11-2022,14500
30-11-2022,55000
